dataset,source_file,case_group,scenario,seed_domain,seed_category,seed_risk_level,media_safety_enabled,developer_log_enabled,startup_gate_enabled,run_count,enabled_run_count,loaded_count,ok_count,error_count,invalid_page_count,visual_candidate_run_count,action_run_count,action_count_sum,action_count_median,action_count_max,candidate_count_max,visible_tile_count_max,cheap_filter_hit_count_max,candidate_sized_visible_media_element_count_max,remaining_visible_tile_count_max,missed_visible_tile_count_max,false_hidden_count_max,hidden_count_max,compact_summary_count_max,viewport_coverage_pct_max,runtime_log_count_max,media_runtime_log_count_max,visual_artifact_count,visual_artifact_paths,collect_ms_p50,collect_ms_p95,collect_ms_max,cheap_filter_ms_p50,cheap_filter_ms_p95,cheap_filter_ms_max,apply_ms_p50,apply_ms_p95,apply_ms_max,dom_added_to_action_ms_p50,dom_added_to_action_ms_p95,dom_added_to_action_ms_max,late_decision_ms_p50,late_decision_ms_p95,late_decision_ms_max,measured_stage_count,report_status,report_note
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,developer.mozilla.org,live,developer.mozilla.org,benign,allow,True,True,False,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,evaluation/media-safety/results/current/benign-thumbnail/visual/live-4-developer-mozilla-org-decision-first.png,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,evaluation/media-safety/results/current/benign-thumbnail/visual/live-1-example-com-decision-first.png,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,google.com,live,google.com,benign-thumbnail,allow,True,True,False,2,2,2,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,3,2,evaluation/media-safety/results/current/benign-thumbnail/visual/live-5-www-google-com-decision-first.png; evaluation/media-safety/results/current/benign-thumbnail/visual/live-6-www-google-com-decision-first.png,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,python.org,live,python.org,benign,allow,True,True,False,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,3,1,evaluation/media-safety/results/current/benign-thumbnail/visual/live-3-www-python-org-decision-first.png,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,3,1,evaluation/media-safety/results/current/benign-thumbnail/visual/live-2-www-wikipedia-org-decision-first.png,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
benign-thumbnail,benign-thumbnail/media-safety-live-smoke.csv,youtube.com,live,youtube.com,benign-thumbnail,allow,True,True,False,2,2,2,2,0,0,2,0,0,0,0,7,7,0,7,0,0,0,0,0,0,5,5,2,evaluation/media-safety/results/current/benign-thumbnail/visual/live-7-www-youtube-com-decision-first.png; evaluation/media-safety/results/current/benign-thumbnail/visual/live-8-www-youtube-com-decision-first.png,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
root,media-safety-live-smoke.csv,example.com,live,example.com,benign,allow,True,True,False,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,evaluation/media-safety/results/current/visual/live-3-example-com-decision-first-r1.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
root,media-safety-live-smoke.csv,jusoguide1.com,live,jusoguide1.com,gambling,block,True,True,False,3,3,3,3,0,0,3,3,52,17,18,18,18,18,0,0,0,0,18,0,78.7,7,7,1,evaluation/media-safety/results/current/visual/live-1-jusoguide1-com-decision-first-r1.png,3,4,4,0,0,0,1,3,3,0,1,1,0,0,0,5,strong_visual_block,유해 visual 후보가 빠르게 숨김/삭제되어 발표 evidence로 승격 가능
root,media-safety-live-smoke.csv,jusowhy1.com,live,jusowhy1.com,gambling,block,True,True,False,3,3,3,3,0,0,3,3,102,34,34,34,34,34,0,0,0,0,34,1,100,4,4,1,evaluation/media-safety/results/current/visual/live-2-jusowhy1-com-decision-first-r1.png,3,3,3,0,0,0,6,7,7,5,5,5,0,0,0,5,strong_visual_block,유해 visual 후보가 빠르게 숨김/삭제되어 발표 evidence로 승격 가능
root,media-safety-live-smoke.csv,wikipedia.org,live,wikipedia.org,benign,allow,True,True,False,3,3,3,3,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,3,1,evaluation/media-safety/results/current/visual/live-4-www-wikipedia-org-decision-first-r1.png,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,benign_negative,정상/인접 이미지 후보를 수집했지만 숨김 0으로 오탐 억제 evidence
