run_id,sample_id,measured_at,source,platform,scenario,query_or_url,expected_result,status,result,masked_span_count,returned_span_count,preexisting_mask_count,pipeline_path,settings_load_ms,candidate_collect_ms,dirty_select_ms,prioritize_ms,foreground_select_ms,parser_ms,pre_backend_checkpoint_ms,local_preflight_ms,backend_roundtrip_ms,backend_reported_ms,decision_build_ms,mask_apply_ms,post_backend_checkpoint_ms,first_visible_mask_ms,calculated_stage_sum_ms,pipeline_done_ms,visible_result_ms,unaccounted_ms,notes
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,3,2026-06-07T22:34:27,chrome-quick-qa,chrome-google,diverse5-profanity-ssipal-variant,씨팔 욕설 판례,mask-spans,ok,pass,13,0,6,preexisting-visible-mask + background-check,0.0,28.0,0.0,7.0,12.0,0.0,46.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,48.0,47.0,0.0,-1.0,already-masked-before-trigger=6; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,4,2026-06-07T22:34:30,chrome-quick-qa,chrome-google,diverse5-profanity-gaesaeki-variant,개새키 뜻,mask-spans,ok,pass,11,0,2,preexisting-visible-mask + background-check,0.0,24.0,0.0,6.0,11.0,0.0,42.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,43.0,0.0,1.0,already-masked-before-trigger=2; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,5,2026-06-07T22:34:35,chrome-quick-qa,chrome-google,diverse5-profanity-momchung-issue,맘충 논란,mask-spans,ok,pass,16,0,5,preexisting-visible-mask + background-check,0.0,16.0,0.0,7.0,12.0,1.0,37.0,5.0,768.0,768.0,0.0,0.0,0.0,0.0,809.0,809.0,0.0,0.0,already-masked-before-trigger=5; multi-candidate-analysis=3; ai-overview-candidates=2; background-backend-roundtrip-spike; background-total-latency-spike
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,6,2026-06-07T22:34:43,chrome-quick-qa,chrome-google,diverse5-profanity-jjanggae-news,짱개 표현 문제,mask-spans,ok,pass,8,,3,preexisting-visible-mask,,,,,,,,,,,,,,0.0,,0.0,0.0,,already-masked-before-trigger=3; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,7,2026-06-07T22:34:47,chrome-quick-qa,chrome-google,diverse5-initial-ssibal-dot,ㅅ.ㅂ 의미,mask-spans,ok,pass,11,0,11,preexisting-visible-mask + background-check,0.0,31.0,0.0,6.0,11.0,0.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,51.0,0.0,1.0,already-masked-before-trigger=11; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,8,2026-06-07T22:34:51,chrome-quick-qa,chrome-google,diverse5-initial-byeongsin-inflected,ㅂㅅ같다 뜻,mask-spans,ok,pass,13,0,6,preexisting-visible-mask + background-check,0.0,21.0,0.0,5.0,8.0,1.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,already-masked-before-trigger=6; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,9,2026-06-07T22:34:54,chrome-quick-qa,chrome-google,diverse5-initial-jiral-inflected,ㅈㄹ하네 뜻,mask-spans,ok,pass,15,1,1,preexisting-visible-mask + background-check,0.0,27.0,0.0,6.0,11.0,1.0,45.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,already-masked-before-trigger=1; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,10,2026-06-07T22:34:58,chrome-quick-qa,chrome-google,diverse5-romanized-gaesaekki,gae saekki meaning,mask-spans,ok,pass,8,0,3,preexisting-visible-mask + background-check,0.0,32.0,0.0,7.0,13.0,0.0,53.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,54.0,0.0,1.0,already-masked-before-trigger=3; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,11,2026-06-07T22:35:02,chrome-quick-qa,chrome-google,diverse5-romanized-jiral,jiral meaning,mask-spans,ok,pass,15,,15,preexisting-visible-mask,,,,,,,,,,,,,,0.0,,0.0,0.0,,already-masked-before-trigger=15; ai-overview-candidates=3
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,12,2026-06-07T22:35:08,chrome-quick-qa,chrome-google,diverse5-english-bitch,bitch korean meaning,mask-spans,ok,pass,4,,4,preexisting-visible-mask,,,,,,,,,,,,,,0.0,,0.0,0.0,,already-masked-before-trigger=4
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,13,2026-06-07T22:35:12,chrome-quick-qa,chrome-google,diverse5-english-motherfucker,motherfucker meaning korean,mask-spans,ok,pass,18,,4,preexisting-visible-mask,,,,,,,,,,,,,,0.0,,0.0,0.0,,already-masked-before-trigger=4; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,14,2026-06-07T22:35:18,chrome-quick-qa,chrome-google,diverse5-toxicity-kill-command,죽어라 협박,mask-spans,ok,pass,5,0,3,preexisting-visible-mask + background-check,0.0,25.0,0.0,5.0,9.0,0.0,40.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,42.0,43.0,0.0,1.0,already-masked-before-trigger=3; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,15,2026-06-07T22:35:22,chrome-quick-qa,chrome-google,diverse5-toxicity-dismiss-command,꺼져라 표현,mask-spans,ok,pass,13,0,6,preexisting-visible-mask + background-check,0.0,34.0,0.0,8.0,15.0,0.0,58.0,0.0,149.0,149.0,0.0,0.0,0.0,0.0,206.0,206.0,0.0,0.0,already-masked-before-trigger=6; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,16,2026-06-07T22:35:26,chrome-quick-qa,chrome-google,diverse5-toxicity-shutup-command,닥쳐라 뜻,mask-spans,ok,pass,6,0,6,preexisting-visible-mask + background-check,0.0,29.0,0.0,7.0,15.0,1.0,52.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,already-masked-before-trigger=6; ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,17,2026-06-07T22:35:29,chrome-quick-qa,chrome-google,diverse5-adult-yuheung-massage,유흥마사지 예약,mask,ok,pass,1,,0,local-high-signal,,,,,,,,,,,,,,0.0,,23.0,0.0,,normal
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,18,2026-06-07T22:35:33,chrome-quick-qa,chrome-google,diverse5-adult-shirt-room-review,셔츠룸 후기,mask,ok,pass,11,,11,preexisting-visible-mask,,,,,,,,,,,,,,0.0,,0.0,0.0,,already-masked-before-trigger=11
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,19,2026-06-07T22:35:37,chrome-quick-qa,chrome-google,diverse5-adult-callgirl-massage-spaced,콜걸 성인마사지,mask,ok,pass,17,,17,preexisting-visible-mask,,,,,,,,,,,,,,0.0,,0.0,0.0,,already-masked-before-trigger=17
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,20,2026-06-07T22:35:42,chrome-quick-qa,chrome-google,diverse5-clean-sibaljeom-economy,시발점 경제 용어,allow,ok,pass,0,0,0,local-preflight,0.0,29.0,0.0,10.0,16.0,0.0,55.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,90.0,89.0,89.0,-1.0,ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,21,2026-06-07T22:35:48,chrome-quick-qa,chrome-google,diverse5-clean-adult-education-program,성인 교육 프로그램,allow,ok,pass,0,0,0,local-preflight,0.0,14.0,0.0,6.0,10.0,0.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,ai-overview-candidates=2
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,22,2026-06-07T22:35:57,chrome-quick-qa,chrome-google,diverse5-clean-salon-culture,살롱 문화사,allow,ok,pass,0,,0,allow-no-mask,,,,,,,,,,,,,,0.0,,21.0,21.0,,normal
chrome-quick-qa-diverse-regression-5-pipeline-final-20260607T2240,23,2026-06-07T22:36:03,chrome-quick-qa,chrome-google,diverse5-clean-pub-startup,주점 창업 통계,allow,ok,pass,0,0,0,local-preflight,0.0,21.0,0.0,9.0,13.0,0.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,44.0,45.0,45.0,1.0,ai-overview-candidates=2
