source_group,scenario,scene_type,rows,avg_ms,median_ms,p90_ms,p95_ms,max_ms,over_250ms,over_1000ms
android-pipeline-benchmark,pipeline-01-02,,2,27.0,27.0,27.0,27.0,27.0,0,0
android-pipeline-benchmark,pipeline-01-02-03-04,,2,35.5,35.5,42.3,43.1,44.0,0,0
android-pipeline-benchmark,pipeline-01-02-03-04-05,,3,760.0,22.0,1806.8,2029.9,2253.0,1,1
android-pipeline-benchmark,pipeline-01-collect,,2,23.5,23.5,26.3,26.6,27.0,0,0
chrome-demo-attempt:google-mode-showcase,masking-mode-showcase,google-mode-showcase,8,38.8,43.0,47.0,47.0,47.0,0,0
chrome-demo-attempt:google-search,custom,google-search,3,57.7,66.0,66.8,66.9,67.0,0,0
chrome-demo-attempt:google-search,hate,google-search,1,64.0,64.0,64.0,64.0,64.0,0,0
chrome-demo-attempt:google-search,toxicity,google-search,2,114.0,114.0,166.8,173.4,180.0,0,0
chrome-demo-attempt:youtube-watch-comments,youtube-comment-profanity,youtube-watch-comments,1,345.0,345.0,345.0,345.0,345.0,1,0
chrome-demo:google-mode-showcase,masking-mode-showcase,google-mode-showcase,24,100.5,47.5,215.4,238.1,253.0,1,0
chrome-demo:google-search,adult-commerce,google-search,2,144.0,144.0,145.6,145.8,146.0,0,0
chrome-demo:google-search,bypass-initial-consonant,google-search,2,93.5,93.5,126.7,130.8,135.0,0,0
chrome-demo:google-search,bypass-spacing,google-search,1,216.0,216.0,216.0,216.0,216.0,0,0
chrome-demo:google-search,clean-topic-bias,google-search,2,84.5,84.5,122.5,127.2,132.0,0,0
chrome-demo:google-search,custom,google-search,17,77.5,49.0,196.0,200.2,205.0,0,0
chrome-demo:google-search,hate,google-search,14,91.3,78.0,148.5,161.4,166.0,0,0
chrome-demo:google-search,hate-slur,google-search,2,58.5,58.5,61.3,61.6,62.0,0,0
chrome-demo:google-search,profanity,google-search,5,121.6,131.0,145.4,148.2,151.0,0,0
chrome-demo:google-search,toxicity,google-search,21,87.8,76.0,143.0,144.0,180.0,0,0
chrome-demo:google-search,unknown,google-search,58,155.7,110.0,377.5,401.9,504.0,12,0
chrome-demo:youtube-watch-comments,youtube-comment-profanity,youtube-watch-comments,14,155.1,84.0,336.0,371.6,421.0,3,0
chrome-quick-qa,adult-commerce,,6,202.5,169.5,327.5,389.2,451.0,1,0
chrome-quick-qa,adult-commerce-compact,,8,152.4,164.5,198.1,225.0,252.0,1,0
chrome-quick-qa,adult-commerce-mixed,,4,152.0,146.0,166.2,170.1,174.0,0,0
chrome-quick-qa,benign-adjacent,,4,49.5,49.0,59.0,60.5,62.0,0,0
chrome-quick-qa,bypass-initial-consonant,,4,91.2,86.0,151.8,155.4,159.0,0,0
chrome-quick-qa,bypass-spacing,,2,178.0,178.0,188.4,189.7,191.0,0,0
chrome-quick-qa,clean-policy-law,,6,102.8,63.0,213.5,217.2,221.0,0,0
chrome-quick-qa,clean-topic-bias,,4,30.0,30.0,36.9,37.9,39.0,0,0
chrome-quick-qa,core-hate-gender-slur,,7,159.9,155.0,212.6,245.3,278.0,1,0
chrome-quick-qa,core-profanity-direct,,9,239.2,184.0,390.4,599.2,808.0,3,0
chrome-quick-qa,core-toxicity-threat,,7,125.6,123.0,138.8,140.9,143.0,0,0
chrome-quick-qa,custom,,4,137.0,129.5,182.0,186.5,191.0,0,0
chrome-quick-qa,direct-profanity,,2,123.5,123.5,139.9,141.9,144.0,0,0
chrome-quick-qa,diverse-adult-condition-meeting,,6,99.5,122.5,152.0,153.5,155.0,0,0
chrome-quick-qa,diverse-adult-room-salon,,6,75.5,85.0,98.0,100.5,103.0,0,0
chrome-quick-qa,diverse-clean-adult-massage-license,,6,53.7,36.0,95.5,117.2,139.0,0,0
chrome-quick-qa,diverse-clean-minority-report,,6,65.2,67.0,80.0,85.0,90.0,0,0
chrome-quick-qa,diverse-clean-policy-issue,,6,57.3,58.0,66.5,68.8,71.0,0,0
chrome-quick-qa,diverse-hate-ethnic-slur,,6,40.5,40.0,44.0,45.5,47.0,0,0
chrome-quick-qa,diverse-hate-mom-slur,,6,70.7,39.5,139.5,149.8,160.0,0,0
chrome-quick-qa,diverse-initial-byeongsin-case,,6,100.0,82.0,178.0,180.0,182.0,0,0
chrome-quick-qa,diverse-initial-sibal-definition,,6,111.3,110.5,158.5,163.8,169.0,0,0
chrome-quick-qa,diverse-romanized-profanity,,6,66.8,70.0,77.0,79.0,81.0,0,0
chrome-quick-qa,diverse-snippet-etymology,,6,91.0,91.0,120.0,132.5,145.0,0,0
chrome-quick-qa,diverse-toxicity-threat-explicit,,6,61.8,69.0,74.5,75.8,77.0,0,0
chrome-quick-qa,diverse2-adult-anma-room,,5,20.0,17.0,27.8,29.4,31.0,0,0
chrome-quick-qa,diverse2-adult-kiss-room,,5,60.2,36.0,106.6,122.8,139.0,0,0
chrome-quick-qa,diverse2-adult-lip-cafe,,5,33.8,29.0,47.2,50.6,54.0,0,0
chrome-quick-qa,diverse2-clean-human-rights-report,,5,48.8,46.0,60.0,61.0,62.0,0,0
chrome-quick-qa,diverse2-clean-massage-education,,5,59.6,62.0,65.6,66.8,68.0,0,0
chrome-quick-qa,diverse2-clean-policy-debate,,5,50.8,53.0,56.0,56.0,56.0,0,0
chrome-quick-qa,diverse2-clean-sibaljeom,,5,53.0,44.0,68.2,68.6,69.0,0,0
chrome-quick-qa,diverse2-family-insult-definition,,5,57.6,54.0,73.8,75.4,77.0,0,0
chrome-quick-qa,diverse2-hate-age-slur,,5,49.8,48.0,53.2,53.6,54.0,0,0
chrome-quick-qa,diverse2-hate-ethnic-slur-variant,,5,59.8,68.0,71.0,71.0,71.0,0,0
chrome-quick-qa,diverse2-hate-japanese-slur,,5,46.8,40.0,58.6,58.8,59.0,0,0
chrome-quick-qa,diverse2-hate-korean-male-slur,,5,39.8,42.0,46.0,47.0,48.0,0,0
chrome-quick-qa,diverse2-spaced-jonna-definition,,5,46.6,47.0,62.2,65.6,69.0,0,0
chrome-quick-qa,diverse3-adult-business-trip-anma,,1,37.0,37.0,37.0,37.0,37.0,0,0
chrome-quick-qa,diverse3-adult-sex-trade,,1,117.0,117.0,117.0,117.0,117.0,0,0
chrome-quick-qa,diverse3-adult-shirt-room,,1,33.0,33.0,33.0,33.0,33.0,0,0
chrome-quick-qa,diverse3-adult-yuheung-pub,,1,24.0,24.0,24.0,24.0,24.0,0,0
chrome-quick-qa,diverse3-clean-adult-literacy,,1,49.0,49.0,49.0,49.0,49.0,0,0
chrome-quick-qa,diverse3-clean-announcement,,1,82.0,82.0,82.0,82.0,82.0,0,0
chrome-quick-qa,diverse3-clean-business-trip-repair,,1,32.0,32.0,32.0,32.0,32.0,0,0
chrome-quick-qa,diverse3-clean-sibal-station,,1,46.0,46.0,46.0,46.0,46.0,0,0
chrome-quick-qa,diverse3-hate-family-negeumma,,1,58.0,58.0,58.0,58.0,58.0,0,0
chrome-quick-qa,diverse3-hate-family-nigeumma,,1,40.0,40.0,40.0,40.0,40.0,0,0
chrome-quick-qa,diverse3-initial-jiral-definition,,1,43.0,43.0,43.0,43.0,43.0,0,0
chrome-quick-qa,diverse3-initial-ssibal-question,,1,125.0,125.0,125.0,125.0,125.0,0,0
chrome-quick-qa,diverse3-profanity-gaesaekki-meaning,,1,48.0,48.0,48.0,48.0,48.0,0,0
chrome-quick-qa,diverse3-profanity-sipal-variant,,1,87.0,87.0,87.0,87.0,87.0,0,0
chrome-quick-qa,diverse3-romanized-byeongsin,,1,49.0,49.0,49.0,49.0,49.0,0,0
chrome-quick-qa,diverse3-toxicity-dakchyeo,,1,42.0,42.0,42.0,42.0,42.0,0,0
chrome-quick-qa,diverse3-toxicity-die-threat,,1,20.0,20.0,20.0,20.0,20.0,0,0
chrome-quick-qa,diverse3-toxicity-kkeojyeo,,1,41.0,41.0,41.0,41.0,41.0,0,0
chrome-quick-qa,diverse4-adult-adult-shop,,4,23.0,23.0,25.1,25.5,26.0,0,0
chrome-quick-qa,diverse4-adult-condition-site,,4,29.8,24.5,39.7,42.8,46.0,0,0
chrome-quick-qa,diverse4-adult-room-salon-variant,,4,34.0,33.0,42.8,43.4,44.0,0,0
chrome-quick-qa,diverse4-clean-adult-finance,,4,40.8,43.0,49.1,49.6,50.0,0,0
chrome-quick-qa,diverse4-clean-byeongsindo,,4,36.8,35.5,48.0,49.5,51.0,0,0
chrome-quick-qa,diverse4-clean-cafe-list,,4,40.0,40.5,48.0,48.0,48.0,0,0
chrome-quick-qa,diverse4-clean-sibal-taxi,,4,67.2,61.5,90.0,94.5,99.0,0,0
chrome-quick-qa,diverse4-clean-yuheung-industry,,4,52.8,51.0,62.6,63.8,65.0,0,0
chrome-quick-qa,diverse4-english-asshole,,4,56.0,55.5,59.4,59.7,60.0,0,0
chrome-quick-qa,diverse4-english-fuck,,4,163.8,170.0,214.1,223.5,233.0,0,0
chrome-quick-qa,diverse4-initial-die,,4,130.0,142.5,186.3,195.1,204.0,0,0
chrome-quick-qa,diverse4-profanity-byeongsin-direct,,4,43.8,44.0,44.7,44.9,45.0,0,0
chrome-quick-qa,diverse4-profanity-jiral-direct,,4,39.5,39.0,41.8,42.4,43.0,0,0
chrome-quick-qa,diverse4-profanity-jonna-direct,,4,41.5,42.5,43.0,43.0,43.0,0,0
chrome-quick-qa,diverse4-profanity-jotgatda,,4,39.0,39.0,41.7,41.9,42.0,0,0
chrome-quick-qa,diverse4-profanity-michin-nom,,4,59.2,45.5,91.0,100.0,109.0,0,0
chrome-quick-qa,diverse4-profanity-ssip-suffix,,4,41.5,40.5,45.2,46.1,47.0,0,0
chrome-quick-qa,diverse4-romanized-byungsin,,4,50.2,49.5,53.5,54.2,55.0,0,0
chrome-quick-qa,diverse4-romanized-ssibal,,4,56.2,56.5,57.0,57.0,57.0,0,0
chrome-quick-qa,diverse5-adult-callgirl-massage-spaced,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-adult-shirt-room-review,,3,0.0,0.0,0.0,0.0,0.0,0,0
chrome-quick-qa,diverse5-adult-yuheung-massage,,3,20.0,21.0,22.6,22.8,23.0,0,0
chrome-quick-qa,diverse5-clean-adult-education-program,,3,28.3,27.0,30.2,30.6,31.0,0,0
chrome-quick-qa,diverse5-clean-pub-startup,,3,45.0,45.0,54.6,55.8,57.0,0,0
