run_id,scene_index,scene_type,label,query,query_category,expected_result,intervention_mode,protection_enabled,input_surface,start_seconds,end_seconds,duration_seconds,attempt_count,effective_masked_span_count,render_box_count,inline_mask_count,ai_overview_candidate_count,duplicate_rendered_original_count,preconceal_count_max,google_light_preconceal_count_max,total_to_mask_ms_avg,total_to_mask_ms_max,backend_round_trip_ms_avg,backend_round_trip_ms_max,candidate_collect_ms_avg,parser_ms_avg,requested_analysis_count_max,backend_live_attempt_count,local_preflight_masked_span_count_max,hover_probe_ok,hover_tooltip,site_warning_continue_hidden,site_warning_continue_disabled,settings_action_summary,status,evidence_note
chrome-google-demo-20260609T104101,,settings,Settings,,,,,,,0.0,20.0,20.0,0,,,,,,,,,,,,,,,0,,false,,,,"Options UI action sequence: open-developer, enable-backend, check-connection, run-site-policy, apply-widget-override, clear-widget-override",operated,"Options UI action sequence: open-developer, enable-backend, check-connection, run-site-policy, apply-widget-override, clear-widget-override"
chrome-google-demo-20260609T104101,1,google-mode-showcase,Protection OFF,병신아 꺼져,masking-mode-showcase,raw-visible,off,false,Google search result mode showcase,24.0,26.0,2.0,0,0,0,0,0,0,,,,,,,,,,0,,false,,,,,off-raw,Google masking mode showcase: raw-off then intervention result
chrome-google-demo-20260609T104101,2,google-mode-showcase,Mode 가리기,병신아 꺼져,masking-mode-showcase,mode-applied,mask,true,Google search result mode showcase,26.0,30.3,4.3,2,10,6,10,2,0,0.000,0.000,70.500,71.000,1.000,1.000,59.500,0.000,1.000,2,0.000,true,청마루 보호: 모욕 99%,,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-demo-20260609T104101,3,google-mode-showcase,Mode 흐리기,병신아 꺼져,masking-mode-showcase,mode-applied,blur,true,Google search result mode showcase,30.3,33.4,3.1,2,10,6,10,2,0,0.000,0.000,64.500,77.000,1.000,1.000,54.000,0.000,1.000,2,0.000,false,,,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-demo-20260609T104101,4,google-mode-showcase,Mode 숨기기,병신아 꺼져,masking-mode-showcase,mode-applied,hide,true,Google search result mode showcase,33.4,36.5,3.1,2,10,6,10,2,0,0.000,0.000,71.500,79.000,1.000,1.000,60.500,0.000,1.000,2,0.000,false,,,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-demo-20260609T104101,5,google-mode-showcase,Mode 삭제,병신아 꺼져,masking-mode-showcase,mode-applied,remove,true,Google search result mode showcase,36.5,39.6,3.1,2,3,3,0,2,0,0.000,0.000,91.000,137.000,33.500,66.000,48.000,0.000,1.000,2,0.000,false,,,,,mode-applied,Google masking mode showcase: raw-off then intervention result
chrome-google-demo-20260609T104101,6,google-search,Search 1,병신아 꺼져,profanity,mask-spans,,,Google search textarea[role=combobox] / textarea[name=q],39.6,57.467,17.867,2,10,7,10,2,1,0.000,0.000,57.500,71.000,1.000,1.000,47.000,0.000,1.000,2,0.000,true,청마루 보호: 모욕 99%,,,,masked,Google search input/result/AI overview candidate run
chrome-google-demo-20260609T104101,7,google-search,Search 2,한남충은 답이 없다,hate,mask-spans,,,Google search textarea[role=combobox] / textarea[name=q],57.467,72.967,15.5,2,15,10,15,2,0,0.000,0.000,38.000,44.000,1.000,1.000,25.500,0.000,1.000,2,0.000,false,,,,,masked,Google search input/result/AI overview candidate run
chrome-google-demo-20260609T104101,8,google-search,Search 3,너 한번만 더 그러면 죽여버린다,toxicity,mask-spans,,,Google search textarea[role=combobox] / textarea[name=q],72.967,88.7,15.733,2,1,0,0,2,0,0.000,0.000,47.000,55.000,1.000,1.000,35.500,0.000,1.000,2,0.000,false,,,,,masked,Google search input/result/AI overview candidate run
chrome-google-demo-20260609T104101,9,youtube-watch-comments,YouTube,시발 또 다시 보여줘야해?,youtube-comment-profanity,mask-spans,,,YouTube search result / watch title / comments,88.7,99.933,11.233,1,3,2,3,0,0,0.000,,552.000,552.000,493.000,493.000,50.000,7.000,0.000,1,8.000,false,,,,,masked,YouTube search result to watch page and comments: Hook - 식케이 (Sik-K) Hook - 식케이 (Sik-K) 0:45
chrome-google-demo-20260609T104101,,site-warning,Site warning,,,,,,,101.933,104.933,3.0,0,,,,,,,,,,,,,,,0,,false,,true,true,,blocked,High-risk warning page continue policy
